MEAN_MOTION;ECCENTRICITY;INCLINATION;RA_OF_ASC_NODE;ARG_OF_PERICENTER;MEAN_ANOMALY;BSTAR;MEAN_MOTION_DOT;MEAN_MOTION_DDOT;TYPE
13.99255735;0.0007209;98.9828;31.7055;17.6963;34.9593;-9.23E-5;-1.78E-6;0;Amateur
13.99255534;0.0007156;98.9828;32.3475;15.847;92.8944;-0.00010433;-1.95E-6;0;Amateur
13.99255428;0.0007124;98.9829;32.7535;14.656;18.7706;-0.00010872;-2.01E-6;0;Amateur
13.99255236;0.0007078;98.9829;33.3295;12.9958;97.3442;-0.00011722;-2.14E-6;0;Amateur
13.99255101;0.0007023;98.983;33.735;11.8314;20.9691;-0.00012194;-2.21E-6;0;Amateur
13.9925489;0.0006978;98.9831;34.3108;10.1929;98.6907;-0.00012947;-2.32E-6;0;Amateur
13.99254763;0.000695;98.9831;34.644;9.2176;10.4234;-0.0001328;-2.36E-6;0;Amateur
13.99254476;0.0006901;98.9832;35.3533;7.1803;53.3304;-0.00014027;-2.47E-6;0;Amateur
13.99254476;0.0006901;98.9832;35.3533;7.1803;53.3304;-0.00014027;-2.47E-6;0;Amateur
13.99253959;0.0006802;98.9833;36.6077;3.477;16.8586;-0.00014823;-2.59E-6;0;Amateur
13.99253525;0.0006728;98.9834;37.5958;0.5461;52.2986;-0.00015145;-2.63E-6;0;Amateur
13.99253038;0.0006653;98.9835;38.5775;357.6886;55.0839;-0.00015577;-2.7E-6;0;Amateur
13.99252572;0.0006576;98.9836;39.5593;354.7702;58.2506;-0.00015564;-2.7E-6;0;Amateur
13.99252103;0.0006502;98.9837;40.5411;351.8551;61.0269;-0.00015417;-2.67E-6;0;Amateur
13.99251654;0.0006435;98.9837;41.5229;348.8478;64.0895;-0.00015158;-2.64E-6;0;Amateur
13.99251616;0.0006433;98.9837;41.5923;348.6053;60.5748;-0.0001522;-2.65E-6;0;Amateur
13.992512;0.000637;98.9837;42.5047;345.8869;67.2994;-0.00014999;-2.61E-6;0;Amateur
13.99250899;0.0006328;98.9838;43.1467;343.9947;124.8045;-0.00014993;-2.61E-6;0;Amateur
13.99250743;0.0006316;98.9837;43.4864;342.923;69.4756;-0.0001505;-2.62E-6;0;Amateur
13.99250443;0.0006271;98.9838;44.1288;341.0243;129.5354;-0.00015091;-2.63E-6;0;Amateur
13.99250305;0.0006241;98.9838;44.4697;340.0142;80.4744;-0.00014861;-2.59E-6;0;Amateur
13.99250017;0.0006199;98.9838;45.1102;338.1894;130.1999;-0.0001491;-2.6E-6;0;Amateur
13.99249871;0.0006176;98.9838;45.4501;337.1571;76.0654;-0.00014853;-2.59E-6;0;Amateur
13.99249582;0.0006136;98.9839;46.092;335.2723;133.2669;-0.00014896;-2.6E-6;0;Amateur
13.99249415;0.0006108;98.9839;46.5003;334.0089;70.3705;-0.00014771;-2.58E-6;0;Amateur
13.99249167;0.0006072;98.9839;47.0739;332.3603;136.6287;-0.00014716;-2.57E-6;0;Amateur
13.9924901;0.0006043;98.984;47.4821;331.1272;73.1946;-0.00014497;-2.54E-6;0;Amateur
13.99248772;0.0006006;98.984;48.0557;329.4847;139.3933;-0.00014352;-2.52E-6;0;Amateur
13.99248608;0.0005981;98.9841;48.4624;328.268;68.0905;-0.00014201;-2.5E-6;0;Amateur
13.99248383;0.0005945;98.9841;49.0375;326.6283;141.9209;-0.00013929;-2.46E-6;0;Amateur
13.9924825;0.0005924;98.9842;49.3774;325.6065;87.5379;-0.00013788;-2.44E-6;0;Amateur
13.99247988;0.0005886;98.9843;50.0194;323.7529;145.2694;-0.00013534;-2.4E-6;0;Amateur
13.99247625;0.0005827;98.9844;51.0016;320.88;149.7987;-0.00012805;-2.29E-6;0;Amateur
13.99247504;0.0005804;98.9844;51.3411;319.8865;93.5664;-0.00012502;-2.25E-6;0;Amateur
13.992473;0.0005759;98.9845;51.9832;318.0843;151.4131;-0.00011732;-2.14E-6;0;Amateur
13.99247188;0.0005739;98.9845;52.3229;317.0858;96.2364;-0.000114;-2.09E-6;0;Amateur
13.99246979;0.0005695;98.9846;52.9651;315.2766;154.5361;-0.00010708;-1.99E-6;0;Amateur
13.99246879;0.0005678;98.9846;53.3715;314.0218;82.0356;-0.00010018;-1.89E-6;0;Amateur
13.99246652;0.0005625;98.9847;54.2866;311.4172;101.861;-8.5671E-5;-1.68E-6;0;Amateur
13.99246627;0.000562;98.9847;54.3534;311.2235;84.7393;-8.5535E-5;-1.68E-6;0;Amateur
13.99246419;0.0005567;98.9848;55.2685;308.6164;104.7732;-7.1201E-5;-1.47E-6;0;Amateur
13.9924622;0.0005505;98.9848;56.2504;305.8179;107.4335;-5.5864E-5;-1.25E-6;0;Amateur
13.99246052;0.0005451;98.9849;57.2324;302.9174;110.5693;-4.1133E-5;-1.03E-6;0;Amateur
13.99245947;0.0005394;98.985;58.2142;300.0345;113.1634;-2.4663E-5;-7.9E-7;0;Amateur
13.99245915;0.0005339;98.9851;59.1972;297.1719;120.8973;-5.8746E-6;-5.2E-7;0;Amateur
13.99245894;0.0005278;98.9852;60.1791;294.2878;123.9181;8.6383E-6;-3.1E-7;0;Amateur
13.99245928;0.0005238;98.9854;61.1611;291.451;126.6727;2.4876E-5;-8.0E-8;0;Amateur
13.99245991;0.0005208;98.9856;62.1431;288.6563;129.0231;3.9509E-5;1.4E-7;0;Amateur
13.99246113;0.0005161;98.9858;63.1251;285.8157;131.9605;5.5912E-5;3.7E-7;0;Amateur
13.99246304;0.0005113;98.986;64.0994;282.8982;95.3725;7.5222E-5;6.6E-7;0;Amateur
13.99246539;0.0005077;98.9862;65.0189;280.1935;136.3879;9.5524E-5;9.5E-7;0;Amateur
13.99246766;0.0005047;98.9863;65.7311;278.0907;193.3725;0.00011261;1.2E-6;0;Amateur
13.99246894;0.0005037;98.9864;66.072;277.0354;144.0545;0.00012104;1.32E-6;0;Amateur
13.99247118;0.0005016;98.9866;66.7132;275.1207;196.5457;0.00013536;1.53E-6;0;Amateur
13.99247265;0.0005006;98.9866;67.0538;274.0862;145.1603;0.00014358;1.65E-6;0;Amateur
13.99247716;0.0004962;98.9868;68.0275;270.9793;105.2253;0.0001675;1.99E-6;0;Amateur
13.9924826;0.0004935;98.987;69.0181;267.9272;151.6172;0.00019211;2.35E-6;0;Amateur
13.99248641;0.0004913;98.9872;69.6603;265.8736;208.7595;0.00020725;2.57E-6;0;Amateur
