MEAN_MOTION;ECCENTRICITY;INCLINATION;RA_OF_ASC_NODE;ARG_OF_PERICENTER;MEAN_ANOMALY;BSTAR;MEAN_MOTION_DOT;MEAN_MOTION_DDOT;TYPE
0.99438756;0.0007872;13.6825;334.2244;211.8253;340.4317;0;-6.4E-7;0;Intelsat
0.99438557;0.0007881;13.6812;334.2142;211.6703;326.8973;0;-4.5E-7;0;Intelsat
0.994384;0.000789;13.6799;334.2034;211.5736;331.3477;0;-2.6E-7;0;Intelsat
0.9943831;0.0007896;13.6786;334.1928;211.7705;330.7189;0;-9.0E-8;0;Intelsat
0.99438304;0.0007898;13.6761;334.1717;211.6467;330.0184;0;2.2E-7;0;Intelsat
0.99438296;0.0007898;13.676;334.1714;211.6391;340.5288;0;2.2E-7;0;Intelsat
0.99438356;0.0007893;13.6748;334.1612;211.6169;329.6236;0;3.5E-7;0;Intelsat
0.99438464;0.000788;13.6734;334.1497;211.2909;3.608;0;4.9E-7;0;Intelsat
0.99438468;0.0007876;13.6732;334.1489;211.2191;29.7472;0;5.0E-7;0;Intelsat
0.99438624;0.0007866;13.6721;334.1401;210.8776;331.7878;0;5.9E-7;0;Intelsat
0.9943886;0.0007852;13.6708;334.1296;210.8719;332.7338;0;6.8E-7;0;Intelsat
0.99439124;0.0007835;13.6695;334.1191;210.8397;335.3533;0;7.5E-7;0;Intelsat
0.99439473;0.0007814;13.6679;334.107;210.684;29.5158;0;8.0E-7;0;Intelsat
0.99439507;0.0007812;13.6678;334.1061;210.7034;59.942;0;8.1E-7;0;Intelsat
0.99439773;0.0007802;13.6668;334.0983;210.6128;328.1324;0;8.2E-7;0;Intelsat
0.99439852;0.0007795;13.6665;334.0958;210.5199;55.9284;0;8.3E-7;0;Intelsat
0.99440138;0.0007783;13.6655;334.0878;210.4157;327.8698;0;8.2E-7;0;Intelsat
0.99440245;0.0007778;13.6651;334.085;210.287;68.0252;0;8.2E-7;0;Intelsat
0.9944055;0.0007765;13.6641;334.0775;210.1027;327.7951;0;7.9E-7;0;Intelsat
0.99440995;0.0007752;13.6628;334.067;209.773;327.7146;0;7.5E-7;0;Intelsat
0.99441465;0.0007741;13.6613;334.0561;209.3871;344.608;0;6.7E-7;0;Intelsat
0.99441917;0.0007733;13.66;334.0462;209.1115;327.5493;0;5.8E-7;0;Intelsat
0.99442408;0.0007729;13.6587;334.0357;208.8139;327.4331;0;4.6E-7;0;Intelsat
0.99442898;0.000773;13.6573;334.0253;208.4983;327.3632;0;3.3E-7;0;Intelsat
0.99443361;0.0007739;13.656;334.015;208.1544;327.285;0;1.9E-7;0;Intelsat
0.99443598;0.0007754;13.6552;334.0098;208.0533;148.5218;0;1.1E-7;0;Intelsat
0.99443825;0.0007751;13.6546;334.0046;207.8282;327.2097;0;3.0E-8;0;Intelsat
0.99444058;0.0007767;13.6539;333.9994;207.7498;147.0947;0;-5.0E-8;0;Intelsat
0.99444279;0.0007761;13.6532;333.9942;207.5545;327.1011;0;-1.4E-7;0;Intelsat
0.99444712;0.0007777;13.6519;333.9839;207.2697;326.9795;0;-3.2E-7;0;Intelsat
0.99445111;0.00078;13.6505;333.9735;206.9542;326.8906;0;-5.2E-7;0;Intelsat
0.99445497;0.0007818;13.6491;333.963;206.777;326.697;0;-7.2E-7;0;Intelsat
0.99445818;0.0007842;13.6478;333.9527;206.5765;318.3132;0;-9.2E-7;0;Intelsat
0.99446127;0.0007867;13.6464;333.942;206.385;326.2755;0;-1.14E-6;0;Intelsat
0.99446387;0.0007888;13.6451;333.9315;206.2611;326.0324;0;-1.36E-6;0;Intelsat
0.99446598;0.0007911;13.6438;333.921;206.1511;325.7563;0;-1.58E-6;0;Intelsat
0.99446771;0.0007928;13.6424;333.9105;206.0802;325.4303;0;-1.78E-6;0;Intelsat
0.99446891;0.0007944;13.6411;333.9001;206.0224;325.0908;0;-1.98E-6;0;Intelsat
0.99446962;0.0007954;13.6398;333.8897;205.9978;324.7412;0;-2.16E-6;0;Intelsat
0.99446979;0.0007963;13.6385;333.8793;205.9609;324.4035;0;-2.32E-6;0;Intelsat
0.99446887;0.0007971;13.6358;333.8585;205.8785;323.7077;0;-2.58E-6;0;Intelsat
0.99446885;0.0007971;13.6357;333.8578;205.8673;349.3609;0;-2.59E-6;0;Intelsat
0.99446787;0.0007974;13.6345;333.8482;205.8051;323.3877;0;-2.67E-6;0;Intelsat
0.99446643;0.0007972;13.6331;333.8379;205.7302;323.0798;0;-2.75E-6;0;Intelsat
0.99446627;0.0007968;13.633;333.8371;205.7332;348.7185;0;-2.76E-6;0;Intelsat
0.99446447;0.0007968;13.6317;333.8275;205.6323;322.7833;0;-2.8E-6;0;Intelsat
0.99446331;0.0007964;13.631;333.8215;205.5407;168.3169;0;-2.83E-6;0;Intelsat
0.99446236;0.0007961;13.6304;333.8171;205.5368;322.4862;0;-2.84E-6;0;Intelsat
0.99446218;0.0007962;13.6303;333.8163;205.5104;348.1542;0;-2.85E-6;0;Intelsat
0.99446093;0.0007958;13.6296;333.8111;205.4182;168.0503;0;-2.86E-6;0;Intelsat
0.99445977;0.0007953;13.629;333.8065;205.42;327.8254;0;-2.86E-6;0;Intelsat
0.99445811;0.0007951;13.6282;333.8007;205.2776;167.7936;0;-2.87E-6;0;Intelsat
0.99445688;0.0007946;13.6276;333.7962;205.275;321.9629;0;-2.87E-6;0;Intelsat
0.99445669;0.0007945;13.6275;333.7955;205.2495;347.63;0;-2.87E-6;0;Intelsat
0.99445383;0.0007945;13.6263;333.7858;205.0833;321.7481;0;-2.86E-6;0;Intelsat
0.99445045;0.000795;13.6249;333.7754;204.8409;321.6075;0;-2.83E-6;0;Intelsat
0.99445027;0.0007951;13.6247;333.7747;204.8039;347.2861;0;-2.83E-6;0;Intelsat
0.9944486;0.000797;13.6241;333.7695;204.6131;167.284;0;-2.81E-6;0;Intelsat
0.99444506;0.0007979;13.6226;333.7591;204.3767;167.1071;0;-2.76E-6;0;Intelsat
0.99444334;0.0007975;13.622;333.7539;204.2834;346.9993;0;-2.73E-6;0;Intelsat
0.99444155;0.0007987;13.6212;333.7488;204.1598;166.9501;0;-2.69E-6;0;Intelsat
0.99443784;0.0008006;13.6198;333.7384;203.9142;166.695;0;-2.62E-6;0;Intelsat
0.9944342;0.0008024;13.6184;333.7281;203.6786;166.5581;0;-2.53E-6;0;Intelsat
