MEAN_MOTION;ECCENTRICITY;INCLINATION;RA_OF_ASC_NODE;ARG_OF_PERICENTER;MEAN_ANOMALY;BSTAR;MEAN_MOTION_DOT;MEAN_MOTION_DDOT;TYPE
12.38103425;0.0002267;52.003;144.6489;134.2958;25.9746;-0.00046863;-1.58E-6;0;Globalstar
12.38103293;0.0002222;52.003;141.6008;136.34;14.9557;-0.00050598;-1.63E-6;0;Globalstar
12.38103414;0.0002181;52.0029;138.7885;138.339;2.5088;-0.00031706;-1.38E-6;0;Globalstar
12.38103508;0.0002146;52.0029;136.1995;140.1981;7.9806;-0.00017043;-1.19E-6;0;Globalstar
12.38103603;0.000211;52.0028;133.3806;142.0227;5.7393;-3.5205E-5;-1.01E-6;0;Globalstar
12.38103705;0.0002088;52.0023;130.6008;143.8482;303.8656;0.00028389;-6.0E-7;0;Globalstar
12.3810383;0.0002062;52.0023;127.7847;145.6785;297.1589;0.00038921;-4.6E-7;0;Globalstar
12.38103909;0.0002044;52.0023;125.9486;146.9078;229.451;0.00041287;-4.3E-7;0;Globalstar
12.38103885;0.0002056;52.0023;124.7214;147.5752;309.3058;0.00033712;-5.3E-7;0;Globalstar
12.38103918;0.0002046;52.0023;122.8639;148.7451;274.5367;0.0002743;-6.1E-7;0;Globalstar
12.38103883;0.0002024;52.0022;120.7566;150.103;261.9854;0.00015353;-7.7E-7;0;Globalstar
12.38103849;0.0002022;52.0022;119.8323;150.6692;237.8614;7.8151E-5;-8.6E-7;0;Globalstar
12.38103767;0.0002008;52.0022;118.5771;151.4365;0.4347;-2.4716E-5;-1.0E-6;0;Globalstar
12.38103695;0.0001997;52.0021;116.7462;152.6312;284.6587;-0.00014338;-1.15E-6;0;Globalstar
12.38103609;0.0001978;52.0025;115.7651;153.3305;347.0655;-0.00010569;-1.1E-6;0;Globalstar
12.3810351;0.0001965;52.0025;113.2094;155.0877;301.4387;-0.00020252;-1.23E-6;0;Globalstar
12.38103512;0.0001958;52.0025;112.9483;155.2064;341.4245;-0.0001978;-1.22E-6;0;Globalstar
12.3810337;0.0001914;52.0025;110.1393;156.8576;323.9585;-0.00031818;-1.38E-6;0;Globalstar
12.38103346;0.0001901;52.0025;109.0002;157.6634;268.6853;-0.00032039;-1.38E-6;0;Globalstar
12.38103304;0.000188;52.0025;107.0618;158.8214;357.7469;-0.00031696;-1.38E-6;0;Globalstar
12.38103304;0.000188;52.0025;107.0618;158.8214;357.7469;-0.00031696;-1.38E-6;0;Globalstar
12.38103304;0.0001868;52.0025;105.9736;159.6226;224.3965;-0.00028136;-1.33E-6;0;Globalstar
12.38103339;0.0001845;52.0025;104.2533;160.5306;339.5803;-0.00021102;-1.24E-6;0;Globalstar
